job_id,dataset,width,depth,gain,lr,batch_size,max_epochs,seed,train_state,eval_state,plots_state,final_train_acc,final_test_acc,best_test_acc,rho_all,rho_unsat,number_correct,number_eval_samples,updated_at
mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed0,mnist,100,4,1.0,0.05,8192,500,0,done,done,done,0.9791166666666666,0.9685,0.969,-0.6511486501142205,-0.6511486501142205,1921,2000,2026-04-04T15:41:32.712784+00:00
mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed1,mnist,100,4,1.0,0.05,8192,500,1,done,done,done,0.9779333333333333,0.97,0.97,-0.6506320739429864,-0.6506320739429864,1920,2000,2026-04-04T15:41:33.489933+00:00
mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed2,mnist,100,4,1.0,0.05,8192,500,2,done,done,done,0.9787333333333333,0.97,0.97,-0.7035657106856581,-0.7035657106856581,1920,2000,2026-04-04T15:41:34.259130+00:00
mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed3,mnist,100,4,1.0,0.05,8192,500,3,done,done,done,0.98,0.9694,0.9698,-0.6603241601104382,-0.6603241601104382,1923,2000,2026-04-04T15:43:51.709791+00:00
mnist_w100_d4_g1_lr0p05_bs8192_ep500_seed4,mnist,100,4,1.0,0.05,8192,500,4,done,done,done,0.9785666666666667,0.9682,0.9684,-0.6848519591125729,-0.6848519591125729,1917,2000,2026-04-04T16:03:42.843734+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed0,mnist,20,4,1.0,0.05,8192,500,0,done,done,done,0.9680333333333333,0.9547,0.9548,-0.8083373209425809,-0.8083373209425809,1886,2000,2026-04-04T15:41:25.294610+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed1,mnist,20,4,1.0,0.05,8192,500,1,done,done,done,0.9657333333333333,0.9543,0.9547,-0.7814399721609648,-0.7814399721609648,1882,2000,2026-04-04T15:41:26.131891+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed2,mnist,20,4,1.0,0.05,8192,500,2,done,done,done,0.9658333333333333,0.9524,0.9534,-0.7993293276431578,-0.7993293276431578,1886,2000,2026-04-04T15:41:26.973082+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed3,mnist,20,4,1.0,0.05,8192,500,3,done,done,done,0.9676333333333333,0.9556,0.9556,-0.8038806794610535,-0.8038806794610535,1890,2000,2026-04-04T15:41:27.871326+00:00
mnist_w20_d4_g1_lr0p05_bs8192_ep500_seed4,mnist,20,4,1.0,0.05,8192,500,4,done,done,done,0.96785,0.9601,0.9609,-0.8194002492753634,-0.8194002492753634,1892,2000,2026-04-04T15:41:28.774832+00:00
mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed0,mnist,50,4,1.0,0.05,8192,500,0,done,done,done,0.9773166666666666,0.9651,0.9661,-0.7470314700870968,-0.7470314700870968,1917,2000,2026-04-04T15:41:29.563252+00:00
mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed1,mnist,50,4,1.0,0.05,8192,500,1,done,done,done,0.9773166666666666,0.9684,0.9687,-0.7206052514175442,-0.7206052514175442,1915,2000,2026-04-04T15:41:29.978413+00:00
mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed2,mnist,50,4,1.0,0.05,8192,500,2,done,done,done,0.9790166666666666,0.9695,0.9698,-0.7087613880423812,-0.7087613880423812,1928,2000,2026-04-04T15:41:30.384210+00:00
mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed3,mnist,50,4,1.0,0.05,8192,500,3,done,done,done,0.97825,0.9677,0.9684,-0.7259889841776644,-0.7259889841776644,1906,2000,2026-04-04T15:41:31.213032+00:00
mnist_w50_d4_g1_lr0p05_bs8192_ep500_seed4,mnist,50,4,1.0,0.05,8192,500,4,done,done,done,0.97695,0.9667,0.967,-0.7337757826551878,-0.7337757826551878,1915,2000,2026-04-04T15:41:31.963015+00:00
